roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.36884,1.7546,1.1003,0.18666,0.00905,0.000078,0.000012,0,0.000001,80.969,14.269,20.398,20.284,21.33,-0.28254,-0.51914,1.4932,4.4354,0.13121,0.98877,0.23375,0.93751,1
0.38151,1.7548,1.1152,0.18701,0.009087,0.000071,0.000009,0,0.000001,85.182,29.49,18.079,18.546,25.907,0.17761,-0.001791,0.53622,2.3236,0.13221,0.98827,0.23445,0.93722,1
0.40996,1.6634,1.1003,0.18297,0.007366,0.000081,0.000012,0,0.000001,85.574,22.855,18.864,18.895,25.583,-0.11457,-0.19919,0.84646,2.6509,0.13279,0.98817,0.22993,0.93672,1
0.39323,1.7478,1.0939,0.18723,0.009002,0.000092,0.000016,0,0.000001,84.29,23.397,18.869,19.736,25.068,-0.079892,-0.22769,0.78302,2.5256,0.1291,0.98867,0.23076,0.93856,1
0.47409,1.5715,1.0997,0.17661,0.005596,0.000009,0.000001,0,0,91.064,22.131,15.747,16.14,21.162,-0.039806,-0.23178,0.69847,2.7346,0.12452,0.98688,0.26982,0.94075,1
0.52101,1.3956,1.0823,0.1688,0.002945,0.000003,0,0,0,71.442,0.94962,17.232,17.557,6.3057,-0.075094,-0.018925,9.5401,116.28,0.152,0.98686,0.22583,0.92896,1
0.48198,1.6798,1.0967,0.18335,0.007639,0.000067,0.000011,0,0.000001,87.27,18.041,15.715,16.352,19.354,0.061177,-0.074645,0.95123,3.3163,0.1237,0.9881,0.28307,0.94318,1
0.45197,1.5998,1.1024,0.17873,0.006131,0.00003,0.000003,0,0,83.107,7.6459,17.622,17.432,15.704,0.24126,0.22702,2.3894,8.8945,0.14517,0.98648,0.25485,0.93259,1
0.43739,1.5929,1.1079,0.17851,0.006019,0.000068,0.000006,0,0.000001,81.078,16.757,19.835,21.156,24.009,0.10069,-0.11045,1.3224,3.7255,0.14628,0.9882,0.21417,0.9304,1
0.46217,1.5073,1.1335,0.17427,0.00459,0.000026,0.000001,0,0,89.507,23.159,16.68,17.57,22.378,-0.18314,-0.30707,0.6857,2.6116,0.11726,0.98915,0.26181,0.94413,1
0.46959,1.5838,1.1171,0.17847,0.005887,0.000039,0.000004,0,0,80.158,15.977,18.435,19.435,21.756,-0.17085,-0.31368,1.255,3.6325,0.14418,0.98816,0.22826,0.93242,1
